"codigo","UF","municipio","indice_envelhecimento","prop_idosos","prop_menores_5_anos","razao_dependencia","razao_sexos","prop_nascidos_vivos_sem_pre_natal","prop_partos_cesarios","tx_natalidade","tx_mortalidade","tme_ap_circulatorio","tme_ap_digestivo","tme_ap_respiratorio","tme_causas_externas","tme_cerebrovasculares","tme_diabetes_melitus","tme_isquemicas_coracao","tme_neonatal_precoce","tme_neoplasias","equipes_saude","gasto_saude_per_capta","internacoes_hospitalares","leitos_sus","valor_medio_internacao","cobertura_BCG","cobertura_covid","cobertura_febreamarela","cobertura_hepatiteA","cobertura_hepatiteB","cobertura_meningococicaC","cobertura_pneumo","cobertura_polio","cobertura_rotavirus","cobertura_tetravalente","cobertura_tripliceviral","cobertura_varicela","tx_abandonovacina","ti_acidentes_animais_peconhentos","ti_dengue","ti_intoxicacao_exogena","ti_oncologia","ti_violencia_autoprovocada","prop_votos_bolsonaro","prop_votos_lula"
"290010","BA","Abaíra",136.99,26.8867278455006,4.43774825366388,71.6267042783263,95.48,0,74.0740740740741,7.40740740740741,10.9739368998628,1042.52400548697,82.3045267489712,452.674897119342,82.3045267489712,233.196159122085,96.0219478737997,178.326474622771,0,534.979423868313,150.891632373114,57.6442222222222,3.15500685871056,16.4609053497942,1827.07,156.52,115.157750342936,136.96,115.22,154.35,163.04,150,156.52,147.83,15.22,132.61,117.39,29.0540540540541,562.41426611797,0,0,96.0219478737997,13.7174211248285,0.35873388042204,0.64126611957796
"290020","BA","Abaré",37.01,12.7104711151426,7.97664266681785,59.7880242775614,97.39,0,50.179211469534,14.8673132260471,5.86166471277843,500.905893637429,31.9727166151551,186.507513588405,69.274219332836,159.863583075775,239.795374613663,170.521155280827,3.584229390681,207.822657998508,90.5893637429394,44.7576361504849,4.15112437386763,17.2652669721837,1042.09,101.57,109.085580304807,86.48,96.86,88.36,88.68,90.25,88.05,87.74,11.95,94.65,103.14,35.3937728937729,154.534796973249,1151.01779814558,149.206010870724,95.9181498454652,143.877224768198,0.224440201353932,0.775559798646068
"290030","BA","Acajutiba",55.94,16.5784704603117,6.24864081188837,61.3261606829611,95.31,0.641025641025641,30.1282051282051,11.3744075829384,10.6452788917244,867.663142544659,262.48632883704,298.94276339774,102.07801676996,335.39919795844,503.09879693766,131.24316441852,6.41025641025641,349.98177178272,87.4954429456799,63.5878060517681,4.6664236237696,6.99963543565439,1354.2,116.98,106.620488516223,63.52,101.89,93.71,101.89,103.14,94.34,94.97,29.56,100,110.69,12.972972972973,102.07801676996,43.74772147284,7.29128691213999,189.57345971564,36.4564345607,0.207906976744186,0.792093023255814
"290035","BA","Adustina",63.63,16.1749172593479,5.80945003872967,53.3750945026461,99.12,0,54.421768707483,10.3769589157137,7.41211351122406,494.140900748271,77.6507129747282,275.307073274036,70.5915572497529,169.419737399407,169.419737399407,98.8281801496541,6.80272108843537,296.484540448962,56.4732457998023,31.3830968516165,3.83312155866158,11.6476069462092,818.73,138.46,105.950868276154,106.99,110.49,125.87,123.08,136.36,126.57,125.17,102.1,135.66,201.4,2.27882037533512,162.360581674432,14.1183114499506,7.05915572497529,84.7098686997035,35.2957786248765,0.168755401901469,0.831244598098531
"290040","BA","Água Fria",68.91,18.3210319376423,5.71152652272884,61.4724883047449,94.43,2.06896551724138,29.6551724137931,8.33429129785033,3.56362800321876,126.451316243246,11.4955742039315,114.955742039315,74.7212323255547,34.4867226117945,97.7123807334176,45.9822968157259,0,86.2168065294861,86.2168065294861,55.8432222094494,3.60386251293252,13.7946890447178,1547.07,101.57,72.5945510978273,84.25,59.84,105.51,93.7,93.7,110.24,96.06,55.12,129.13,122.83,26.6937669376694,574.778710196574,40.2345097137602,28.7389355098287,132.199103345212,114.955742039315,0.179467171998662,0.820532828001338
"290050","BA","Érico Cardoso",80.22,18.7947944172011,5.29988683515654,56.147842733029,99.36,1.69491525423729,47.4576271186441,11.1520650222096,8.50581230507514,963.992061241849,9.45090256119459,321.330687080616,37.8036102447784,160.665343540308,170.116246101503,274.076174274643,8.47457627118644,245.723466591059,103.959928173141,67.4150411114261,5.75559965976751,17.0116246101503,1171.29,101.85,97.5427653340894,105.56,105.56,108.33,115.74,111.11,109.26,106.48,12.96,103.7,114.81,23.5908141962422,576.50505623287,1398.7335790568,0,75.6072204895568,9.45090256119459,0.192939244663383,0.807060755336617
"290060","BA","Aiquara",67.06,19.1364965145042,5.9365864627839,61.7679156056748,99.42,1.81818181818182,52.7272727272727,12.0455540954884,6.35129215943933,328.515111695138,197.109067017083,350.416119141481,43.8020148926851,219.010074463425,197.109067017083,109.505037231713,0,284.713096802453,87.6040297853701,67.4864169951818,5.62855891371003,34.1655716162944,1199,238.64,62.9872974156811,70.45,52.27,90.91,111.36,111.36,90.91,95.45,20.45,88.64,43.18,11.864406779661,350.416119141481,21.9010074463425,65.7030223390276,131.406044678055,87.6040297853701,0.2418432559704,0.7581567440296
"290070","BA","Alagoinhas",49.75,14.4927344344775,6.0891728178478,52.5145643811274,88.07,0.586979722518677,49.0394877267876,11.8709775502965,7.51913039071606,478.893224547712,131.758982415244,214.108346424771,79.8155374246187,176.100947651143,209.674149901181,81.0824507170729,9.6051227321238,207.773779962499,38.6408554198551,47.7108087974459,4.10733289413673,12.7578168550144,1158.56,84.69,93.0205746718695,44.34,38.67,74.81,62.03,66.95,74.39,61.19,12.5,53.7,48.13,19.8892980888666,57.0110981604419,165.332184665282,36.7404854811737,112.75528302843,62.7122079764861,0.305981883037642,0.694018116962358
"290080","BA","Alcobaça",46.29,15.487158581329,7.44802282918875,63.1092492851918,101.81,2.15384615384615,39.3846153846154,13.7519570092667,8.25117420556002,473.913595396268,42.3137138746668,198.874455210934,165.0234841112,203.105826598401,148.097998561334,186.180341048534,3.07692307692308,385.054796259468,88.8587991368002,41.3840172639953,4.65450852621335,25.8959928912961,888.31,79.88,66.6356366098252,40.24,29.13,67.87,58.56,63.66,63.66,54.95,4.8,54.05,41.14,11.514392991239,131.172513011467,511.995937883468,4.23137138746668,97.3215419117336,50.7764566496001,0.291994957453514,0.708005042546486
"290090","BA","Almadina",85.12,22.2690686086623,5.634342660023,70.0782268578879,95.94,0,51.1627906976744,8.2771896053898,15.5919153031761,1443.6958614052,173.243503368624,404.234841193455,96.2463907603465,404.234841193455,885.466794995188,307.988450433109,0,230.991337824832,115.495668912416,100.327957651588,6.10202117420597,0,1644.18,127.12,94.0904716073147,72.88,72.88,74.58,74.58,86.44,76.27,81.36,16.95,74.58,79.66,23.3644859813084,211.742059672762,1289.70163618864,57.7478344562079,250.240615976901,0,0.201903663109316,0.798096336890684
